metric,null_score
divergence,0.21089991781459227
divergence,0.14628557428805233
divergence,0.02502113626276148
divergence,0.008690797704101083
divergence,0.30080964729511583
divergence,0.4296805857834356
divergence,0.12381107977138406
divergence,0.06824379258553182
divergence,0.30651556887461306
divergence,0.550893643353517
divergence,0.1763811607885929
divergence,0.08964735573948124
divergence,0.041231113065334446
divergence,0.18874314246727764
divergence,0.17902017673472437
divergence,0.3637278535333137
divergence,0.20511074556424558
divergence,0.08502995859557938
divergence,0.1382200304504424
divergence,0.19682934432393195
divergence,0.007848524590446493
divergence,0.2233316944215975
divergence,0.24446887956630592
divergence,0.36516607606184714
divergence,0.2917609090840845
divergence,0.12550642353821462
divergence,0.08243466248480424
divergence,0.20622876473238627
divergence,0.08541913630681952
divergence,0.07283205013909866
divergence,0.03846841024467529
divergence,0.21648827071808174
divergence,0.2479998734719837
divergence,0.20021022614721196
divergence,0.1856259206353057
divergence,0.17881697005292807
divergence,0.26174353933980954
divergence,0.07174235133734008
divergence,0.24960247749350817
divergence,0.04236632154337272
divergence,0.0972843404870175
divergence,-0.019259405536192986
divergence,0.20131443637120405
divergence,0.3411743154084793
divergence,0.07357126581751028
divergence,0.1995372545939027
divergence,0.1625922262433901
divergence,0.34083616288604746
divergence,0.10730019104645849
divergence,0.30156155784168004
divergence,0.0298078645677764
divergence,0.28654670037650376
divergence,0.40358924405125407
divergence,0.1894229298360176
divergence,0.13176915902337394
divergence,0.31286732266034667
divergence,0.18482581375162555
divergence,0.3004902300237966
divergence,0.03050192930074025
divergence,0.12354536980578268
divergence,0.07463273838152173
divergence,0.1556161743363007
divergence,0.13399530316745167
divergence,0.42409789194322056
divergence,0.10980779886664949
divergence,0.01277837638154744
divergence,0.08040921356792419
divergence,0.3945704271346714
divergence,0.2211647722753135
divergence,0.5592832493643172
divergence,0.30523695114322025
divergence,0.12261117520443887
